City Id,City Name,Temprature,Cloudiness,Wind,Latitude,Longitude,Humidity
3421765,Nanortalik,42.78,61,9.55,60.14,-45.24,76
3576994,Cockburn Town,82.99,92,17.94,21.46,-71.14,81
3418910,Upernavik,41.07,25,14.23,72.79,-56.15,76
1507390,Dikson,43.34,0,3.33,73.51,80.55,89
5044290,Saint Anthony,69.3,1,5.82,45.02,-93.22,64
2012532,Zhigalovo,61.57,0,4.14,54.81,105.16,45
1819729,Hong Kong,86.32,99,8.01,22.29,114.16,70
1254709,Tezu,76.15,100,2.98,27.92,96.17,87
3115824,Muros,64.0,48,7.0,42.78,-9.06,86
653272,Kemijärvi,47.62,36,7.16,66.71,27.43,69
3461888,Guarapari,73.2,20,4.7,-20.67,-40.5,83
3372760,Praia da Vitória,71.6,20,10.38,38.73,-27.07,88
1164306,Surab,76.41,2,0.98,28.49,66.26,67
5666176,Miles City,82.4,1,4.7,46.41,-105.84,21
2240449,Luanda,69.57,71,4.81,-8.84,13.23,87
582993,Aleksandrovskoye,57.2,41,4.47,44.71,43.0,58
1214026,Sabang,83.26,8,7.16,5.89,95.32,73
2252606,Bakel,81.0,98,14.38,14.9,-12.46,82
2093846,Kiunga,80.08,93,3.06,-6.12,141.29,75
2034228,Wangkui,75.11,68,6.08,46.83,126.5,71
3832899,Viedma,39.99,0,8.01,-40.81,-63.0,46
2738381,Lata,57.6,20,1.12,40.16,-8.33,93
2422442,Dabola,69.64,97,2.53,10.75,-11.12,92
1295765,Sittwe,82.02,100,16.84,20.15,92.9,83
1735634,Kuching,82.4,20,3.36,1.55,110.33,83
1636806,Majene,78.91,99,11.56,-3.54,118.97,80
2943320,Brühl,66.87,18,2.24,50.83,6.91,93
58933,Garoowe,70.66,100,22.1,8.41,48.48,72
552465,Kargopol',52.16,80,5.37,61.51,38.95,98
2015707,Takhtamygda,65.84,15,6.89,54.1,123.57,50
3838859,Río Gallegos,33.8,45,25.28,-51.62,-69.22,69
2219235,Ubari,77.02,0,7.16,26.59,12.78,27
1490918,Staryy Nadym,46.49,100,17.38,65.61,72.68,91
1785781,Yulin,79.39,91,7.36,22.63,110.15,86
1633034,Liku,86.88,98,1.57,-0.73,119.89,56
1529102,Ürümqi,75.2,0,15.66,43.8,87.6,33
135423,Shahrud,64.47,0,14.41,36.42,54.98,59
1800498,Mingshui,86.0,100,5.59,36.72,117.5,73
264371,Athens,78.39,0,4.7,37.98,23.72,50
1267390,Kavaratti,81.81,100,13.49,10.57,72.64,80
5882953,Aklavik,50.0,75,9.17,68.22,-135.01,76
2083537,Wewak,84.25,17,6.08,-3.55,143.63,65
920233,Chibombo,53.55,0,4.23,-14.66,28.07,61
3416888,Grindavik,51.8,90,14.99,63.84,-22.43,100
379252,Khartoum,84.9,66,9.17,15.55,32.53,58
2122493,Omsukchan,52.43,98,3.69,62.53,155.8,74
3393106,Paragominas,75.06,2,2.3,-2.97,-47.48,72
6179138,Westlock,69.22,1,6.93,54.15,-113.87,60
2136150,Luganville,78.8,75,6.93,-15.53,167.17,88
3374235,Sal Rei,78.8,75,13.87,16.18,-22.92,78
6355222,Yulara,66.2,0,5.82,-25.24,130.99,29
6089245,Norman Wells,60.8,75,11.41,65.28,-126.83,72
3697838,Contamana,79.7,10,2.82,-7.33,-75.02,64
3985168,San Patricio,87.8,40,2.77,19.22,-104.7,74
1213855,Sibolga,84.69,1,0.87,1.74,98.78,64
3466950,Carinhanha,72.37,0,6.46,-14.3,-43.77,47
